Date,Time,WBGT,Tg
2019/5/1,1:00,15.7,16.1
2019/5/1,2:00,15.6,16.0
2019/5/1,3:00,15.5,15.9
2019/5/1,4:00,15.5,15.9
2019/5/1,5:00,15.4,15.8
2019/5/1,6:00,15.9,17.6
2019/5/1,7:00,16.4,19.6
2019/5/1,8:00,17.0,21.7
2019/5/1,9:00,17.5,23.0
2019/5/1,10:00,17.1,23.3
2019/5/1,11:00,18.0,24.7
2019/5/1,12:00,17.8,24.9
2019/5/1,13:00,17.9,25.2
2019/5/1,14:00,17.7,24.0
2019/5/1,15:00,17.6,23.1
2019/5/1,16:00,16.7,21.6
2019/5/1,17:00,16.5,20.1
2019/5/1,18:00,15.7,17.8
2019/5/1,19:00,14.7,16.0
2019/5/1,20:00,14.2,15.5
2019/5/1,21:00,13.9,15.3
2019/5/1,22:00,13.7,15.0
2019/5/1,23:00,13.3,14.7
2019/5/1,24:00,13.0,14.4
2019/5/2,1:00,12.5,13.8
2019/5/2,2:00,12.1,13.2
2019/5/2,3:00,12.0,13.1
2019/5/2,4:00,11.9,12.8
2019/5/2,5:00,12.0,13.6
2019/5/2,6:00,12.5,15.4
2019/5/2,7:00,14.9,25.5
2019/5/2,8:00,16.4,32.6
2019/5/2,9:00,17.1,36.2
2019/5/2,10:00,17.6,38.8
2019/5/2,11:00,17.9,40.3
2019/5/2,12:00,18.5,40.9
2019/5/2,13:00,16.8,41.2
2019/5/2,14:00,16.4,41.0
2019/5/2,15:00,16.8,40.1
2019/5/2,16:00,16.8,38.7
2019/5/2,17:00,15.2,35.8
2019/5/2,18:00,13.1,26.3
2019/5/2,19:00,11.3,20.0
2019/5/2,20:00,11.4,18.3
2019/5/2,21:00,11.5,17.4
2019/5/2,22:00,10.9,15.5
2019/5/2,23:00,11.0,14.8
2019/5/2,24:00,10.6,14.4
2019/5/3,1:00,10.0,13.3
2019/5/3,2:00,10.1,13.3
2019/5/3,3:00,9.7,12.5
2019/5/3,4:00,9.7,12.3
2019/5/3,5:00,9.3,12.3
2019/5/3,6:00,9.9,13.8
2019/5/3,7:00,12.3,24.0
2019/5/3,8:00,14.2,30.4
2019/5/3,9:00,16.7,35.0
2019/5/3,10:00,17.4,37.2
2019/5/3,11:00,19.5,41.6
2019/5/3,12:00,19.6,42.1
2019/5/3,13:00,20.0,43.1
2019/5/3,14:00,20.5,43.8
2019/5/3,15:00,20.1,42.9
2019/5/3,16:00,18.4,41.3
2019/5/3,17:00,18.3,39.6
2019/5/3,18:00,16.6,30.1
2019/5/3,19:00,14.5,22.9
2019/5/3,20:00,14.4,21.1
2019/5/3,21:00,14.0,20.4
2019/5/3,22:00,13.7,19.4
2019/5/3,23:00,13.2,18.0
2019/5/3,24:00,12.7,16.9
2019/5/4,1:00,11.7,15.1
2019/5/4,2:00,11.2,14.0
2019/5/4,3:00,11.2,14.2
2019/5/4,4:00,10.4,12.2
2019/5/4,5:00,10.3,11.9
2019/5/4,6:00,12.2,19.4
2019/5/4,7:00,14.0,27.3
2019/5/4,8:00,16.2,33.6
2019/5/4,9:00,18.7,37.7
2019/5/4,10:00,18.3,41.1
2019/5/4,11:00,17.9,43.1
2019/5/4,12:00,18.6,44.9
2019/5/4,13:00,19.2,45.2
2019/5/4,14:00,19.3,44.7
2019/5/4,15:00,19.5,42.9
2019/5/4,16:00,18.6,40.6
2019/5/4,17:00,19.5,37.6
2019/5/4,18:00,16.7,27.9
2019/5/4,19:00,14.4,21.1
2019/5/4,20:00,17.2,19.7
2019/5/4,21:00,13.8,18.9
2019/5/4,22:00,14.0,18.9
2019/5/4,23:00,14.5,18.6
2019/5/4,24:00,14.0,17.2
2019/5/5,1:00,13.7,16.2
2019/5/5,2:00,14.0,15.9
2019/5/5,3:00,13.7,14.8
2019/5/5,4:00,13.1,14.4
2019/5/5,5:00,12.8,14.1
2019/5/5,6:00,14.2,21.2
2019/5/5,7:00,16.0,27.5
2019/5/5,8:00,16.7,32.2
2019/5/5,9:00,18.3,35.8
2019/5/5,10:00,20.1,39.1
2019/5/5,11:00,20.7,39.4
2019/5/5,12:00,21.4,41.7
2019/5/5,13:00,21.6,41.8
2019/5/5,14:00,22.1,42.5
2019/5/5,15:00,20.8,41.2
2019/5/5,16:00,19.5,39.8
2019/5/5,17:00,19.3,37.6
2019/5/5,18:00,16.4,28.4
2019/5/5,19:00,16.0,21.7
2019/5/5,20:00,16.9,20.6
2019/5/5,21:00,17.1,19.6
2019/5/5,22:00,16.8,19.3
2019/5/5,23:00,16.8,18.9
2019/5/5,24:00,16.5,18.2
2019/5/6,1:00,16.3,17.9
2019/5/6,2:00,15.8,17.3
2019/5/6,3:00,15.4,17.1
2019/5/6,4:00,15.2,16.8
2019/5/6,5:00,15.0,16.6
2019/5/6,6:00,16.5,22.8
2019/5/6,7:00,18.7,30.0
2019/5/6,8:00,19.1,32.7
2019/5/6,9:00,19.5,35.2
2019/5/6,10:00,21.0,38.6
2019/5/6,11:00,20.2,40.1
2019/5/6,12:00,21.3,41.3
2019/5/6,13:00,21.6,42.8
2019/5/6,14:00,20.5,41.4
2019/5/6,15:00,18.5,29.9
2019/5/6,16:00,17.5,27.4
2019/5/6,17:00,15.4,19.2
2019/5/6,18:00,14.4,17.5
2019/5/6,19:00,13.4,16.1
2019/5/6,20:00,13.7,15.0
2019/5/6,21:00,13.5,14.4
2019/5/6,22:00,13.2,14.1
2019/5/6,23:00,13.2,13.9
2019/5/6,24:00,12.6,13.2
2019/5/7,1:00,10.5,13.1
2019/5/7,2:00,9.8,12.6
2019/5/7,3:00,9.0,11.9
2019/5/7,4:00,8.7,11.3
2019/5/7,5:00,8.3,11.2
2019/5/7,6:00,9.5,18.4
2019/5/7,7:00,10.8,25.2
2019/5/7,8:00,11.7,30.0
2019/5/7,9:00,11.8,32.4
2019/5/7,10:00,12.2,34.8
2019/5/7,11:00,12.5,36.1
2019/5/7,12:00,13.5,37.4
2019/5/7,13:00,13.8,38.1
2019/5/7,14:00,13.5,37.8
2019/5/7,15:00,13.1,36.7
2019/5/7,16:00,12.3,34.5
2019/5/7,17:00,11.5,32.0
2019/5/7,18:00,9.7,23.0
2019/5/7,19:00,8.0,15.7
2019/5/7,20:00,7.7,14.3
2019/5/7,21:00,7.4,13.6
2019/5/7,22:00,7.1,12.5
2019/5/7,23:00,6.8,11.9
2019/5/7,24:00,6.7,11.2
2019/5/8,1:00,6.2,9.6
2019/5/8,2:00,6.1,9.6
2019/5/8,3:00,5.6,8.4
2019/5/8,4:00,5.4,7.6
2019/5/8,5:00,5.3,7.5
2019/5/8,6:00,7.5,15.9
2019/5/8,7:00,9.4,23.1
2019/5/8,8:00,11.2,29.1
2019/5/8,9:00,12.0,32.0
2019/5/8,10:00,13.0,35.7
2019/5/8,11:00,13.9,38.4
2019/5/8,12:00,14.1,39.4
2019/5/8,13:00,17.0,41.2
2019/5/8,14:00,16.3,40.6
2019/5/8,15:00,15.9,39.9
2019/5/8,16:00,15.8,39.0
2019/5/8,17:00,14.8,36.0
2019/5/8,18:00,11.8,21.3
2019/5/8,19:00,11.2,18.4
2019/5/8,20:00,10.9,18.2
2019/5/8,21:00,11.6,18.0
2019/5/8,22:00,11.7,16.9
2019/5/8,23:00,11.8,16.2
2019/5/8,24:00,12.2,16.4
2019/5/9,1:00,10.9,15.6
2019/5/9,2:00,10.4,15.2
2019/5/9,3:00,10.2,14.6
2019/5/9,4:00,9.9,13.9
2019/5/9,5:00,10.0,14.2
2019/5/9,6:00,11.6,20.4
2019/5/9,7:00,12.7,26.1
2019/5/9,8:00,14.7,32.1
2019/5/9,9:00,13.4,24.1
2019/5/9,10:00,16.6,35.0
2019/5/9,11:00,15.2,27.1
2019/5/9,12:00,15.8,29.0
2019/5/9,13:00,17.9,38.3
2019/5/9,14:00,15.9,29.0
2019/5/9,15:00,16.1,28.5
2019/5/9,16:00,17.7,36.3
2019/5/9,17:00,17.4,33.6
2019/5/9,18:00,16.0,26.9
2019/5/9,19:00,14.5,19.5
2019/5/9,20:00,14.0,18.7
2019/5/9,21:00,13.7,17.4
2019/5/9,22:00,13.2,16.5
2019/5/9,23:00,12.9,15.9
2019/5/9,24:00,12.4,15.0
2019/5/10,1:00,12.0,13.9
2019/5/10,2:00,11.8,13.7
2019/5/10,3:00,11.0,12.3
2019/5/10,4:00,10.6,11.8
2019/5/10,5:00,10.7,11.9
2019/5/10,6:00,12.3,19.2
2019/5/10,7:00,14.5,26.1
2019/5/10,8:00,16.4,32.3
2019/5/10,9:00,17.7,37.2
2019/5/10,10:00,19.1,41.3
2019/5/10,11:00,18.2,43.6
2019/5/10,12:00,19.3,46.4
2019/5/10,13:00,19.3,46.2
2019/5/10,14:00,19.2,45.9
2019/5/10,15:00,18.8,43.7
2019/5/10,16:00,16.6,31.3
2019/5/10,17:00,19.1,39.0
2019/5/10,18:00,16.7,30.3
2019/5/10,19:00,15.1,22.8
2019/5/10,20:00,14.9,21.7
2019/5/10,21:00,14.8,20.7
2019/5/10,22:00,14.4,19.5
2019/5/10,23:00,14.8,19.7
2019/5/10,24:00,14.1,18.4
2019/5/11,1:00,13.3,16.7
2019/5/11,2:00,13.3,16.0
2019/5/11,3:00,12.8,15.6
2019/5/11,4:00,12.2,15.0
2019/5/11,5:00,12.0,14.4
2019/5/11,6:00,12.7,17.8
2019/5/11,7:00,15.4,29.9
2019/5/11,8:00,16.6,35.4
2019/5/11,9:00,18.5,39.0
2019/5/11,10:00,19.4,42.3
2019/5/11,11:00,20.5,44.3
2019/5/11,12:00,21.7,46.8
2019/5/11,13:00,21.5,47.4
2019/5/11,14:00,21.7,47.1
2019/5/11,15:00,20.6,45.5
2019/5/11,16:00,18.4,43.7
2019/5/11,17:00,17.7,40.2
2019/5/11,18:00,15.6,31.8
2019/5/11,19:00,15.5,23.5
2019/5/11,20:00,15.4,21.8
2019/5/11,21:00,16.3,20.3
2019/5/11,22:00,16.7,19.7
2019/5/11,23:00,16.9,19.3
2019/5/11,24:00,17.0,19.1
2019/5/12,1:00,16.5,18.5
2019/5/12,2:00,14.3,17.3
2019/5/12,3:00,13.7,17.2
2019/5/12,4:00,12.9,16.4
2019/5/12,5:00,12.5,15.7
2019/5/12,6:00,14.0,23.5
2019/5/12,7:00,15.7,30.8
2019/5/12,8:00,17.3,35.5
2019/5/12,9:00,19.1,39.1
2019/5/12,10:00,21.2,42.5
2019/5/12,11:00,22.1,44.7
2019/5/12,12:00,21.1,45.1
2019/5/12,13:00,21.6,45.8
2019/5/12,14:00,21.9,46.8
2019/5/12,15:00,21.7,45.1
2019/5/12,16:00,21.8,42.6
2019/5/12,17:00,21.1,39.1
2019/5/12,18:00,18.6,25.1
2019/5/12,19:00,18.3,22.0
2019/5/12,20:00,18.5,20.9
2019/5/12,21:00,18.3,20.4
2019/5/12,22:00,18.5,20.5
2019/5/12,23:00,18.5,20.3
2019/5/12,24:00,18.5,20.3
2019/5/13,1:00,18.1,19.9
2019/5/13,2:00,17.7,19.4
2019/5/13,3:00,17.7,19.5
2019/5/13,4:00,17.5,19.0
2019/5/13,5:00,17.1,18.6
2019/5/13,6:00,18.4,25.2
2019/5/13,7:00,20.0,31.6
2019/5/13,8:00,21.3,35.8
2019/5/13,9:00,21.8,38.0
2019/5/13,10:00,22.3,39.9
2019/5/13,11:00,23.0,42.5
2019/5/13,12:00,23.1,43.1
2019/5/13,13:00,23.6,45.3
2019/5/13,14:00,23.9,45.2
2019/5/13,15:00,23.3,43.9
2019/5/13,16:00,22.9,40.9
2019/5/13,17:00,21.9,35.7
2019/5/13,18:00,19.6,24.7
2019/5/13,19:00,19.1,22.4
2019/5/13,20:00,18.9,21.8
2019/5/13,21:00,18.9,21.3
2019/5/13,22:00,18.8,21.1
2019/5/13,23:00,18.4,20.8
2019/5/13,24:00,17.4,20.8
2019/5/14,1:00,17.4,19.1
2019/5/14,2:00,17.5,19.2
2019/5/14,3:00,16.8,19.4
2019/5/14,4:00,16.9,19.0
2019/5/14,5:00,17.0,19.1
2019/5/14,6:00,17.3,21.0
2019/5/14,7:00,17.9,22.9
2019/5/14,8:00,18.7,25.0
2019/5/14,9:00,19.3,27.0
2019/5/14,10:00,21.9,37.8
2019/5/14,11:00,19.4,28.8
2019/5/14,12:00,18.2,25.2
2019/5/14,13:00,18.6,26.0
2019/5/14,14:00,18.0,24.4
2019/5/14,15:00,18.1,23.9
2019/5/14,16:00,16.8,21.5
2019/5/14,17:00,16.3,19.6
2019/5/14,18:00,16.5,18.5
2019/5/14,19:00,16.0,16.7
2019/5/14,20:00,15.6,16.3
2019/5/14,21:00,15.6,16.3
2019/5/14,22:00,15.7,16.4
2019/5/14,23:00,15.8,16.5
2019/5/14,24:00,15.4,16.1
2019/5/15,1:00,15.0,15.8
2019/5/15,2:00,15.0,15.8
2019/5/15,3:00,14.8,15.7
2019/5/15,4:00,14.9,15.7
2019/5/15,5:00,14.7,15.5
2019/5/15,6:00,16.3,22.9
2019/5/15,7:00,16.0,20.3
2019/5/15,8:00,16.8,22.9
2019/5/15,9:00,19.5,35.1
2019/5/15,10:00,20.5,37.8
2019/5/15,11:00,20.1,38.2
2019/5/15,12:00,18.6,30.4
2019/5/15,13:00,21.8,41.1
2019/5/15,14:00,21.3,41.5
2019/5/15,15:00,22.1,41.4
2019/5/15,16:00,20.9,39.0
2019/5/15,17:00,20.9,35.5
2019/5/15,18:00,18.5,28.2
2019/5/15,19:00,16.9,20.3
2019/5/15,20:00,17.2,19.5
2019/5/15,21:00,17.2,19.5
2019/5/15,22:00,17.3,19.4
2019/5/15,23:00,16.9,18.9
2019/5/15,24:00,16.8,18.5
2019/5/16,1:00,16.8,18.3
2019/5/16,2:00,16.6,18.0
2019/5/16,3:00,16.0,17.1
2019/5/16,4:00,16.2,17.4
2019/5/16,5:00,15.7,16.8
2019/5/16,6:00,17.6,24.6
2019/5/16,7:00,19.0,30.7
2019/5/16,8:00,20.2,35.4
2019/5/16,9:00,21.3,38.3
2019/5/16,10:00,21.7,40.1
2019/5/16,11:00,22.1,41.4
2019/5/16,12:00,22.0,41.5
2019/5/16,13:00,22.0,42.7
2019/5/16,14:00,23.3,44.6
2019/5/16,15:00,22.2,42.5
2019/5/16,16:00,21.5,40.0
2019/5/16,17:00,18.0,27.0
2019/5/16,18:00,17.0,23.9
2019/5/16,19:00,16.9,21.5
2019/5/16,20:00,16.8,20.9
2019/5/16,21:00,17.3,20.4
2019/5/16,22:00,17.2,19.7
2019/5/16,23:00,17.2,19.1
2019/5/16,24:00,17.0,18.7
2019/5/17,1:00,16.5,18.4
2019/5/17,2:00,16.3,18.1
2019/5/17,3:00,16.3,18.0
2019/5/17,4:00,16.3,17.6
2019/5/17,5:00,15.4,16.9
2019/5/17,6:00,16.0,19.1
2019/5/17,7:00,19.0,30.5
2019/5/17,8:00,20.9,35.6
2019/5/17,9:00,22.1,38.9
2019/5/17,10:00,21.2,39.0
2019/5/17,11:00,21.7,40.9
2019/5/17,12:00,23.5,43.9
2019/5/17,13:00,23.8,45.1
2019/5/17,14:00,22.5,43.1
2019/5/17,15:00,22.4,42.8
2019/5/17,16:00,21.6,40.1
2019/5/17,17:00,20.3,34.5
2019/5/17,18:00,18.5,23.6
2019/5/17,19:00,17.9,21.4
2019/5/17,20:00,17.9,20.8
2019/5/17,21:00,17.2,21.0
2019/5/17,22:00,17.4,20.6
2019/5/17,23:00,16.9,20.7
2019/5/17,24:00,16.5,20.0
2019/5/18,1:00,16.3,19.3
2019/5/18,2:00,16.1,18.9
2019/5/18,3:00,15.7,18.8
2019/5/18,4:00,15.4,18.4
2019/5/18,5:00,15.3,18.1
2019/5/18,6:00,16.9,25.6
2019/5/18,7:00,18.4,31.5
2019/5/18,8:00,18.1,27.5
2019/5/18,9:00,20.9,41.2
2019/5/18,10:00,21.2,42.0
2019/5/18,11:00,22.4,44.4
2019/5/18,12:00,22.5,45.3
2019/5/18,13:00,19.6,34.7
2019/5/18,14:00,19.6,33.6
2019/5/18,15:00,20.1,30.9
2019/5/18,16:00,18.8,28.7
2019/5/18,17:00,18.2,25.9
2019/5/18,18:00,17.3,23.1
2019/5/18,19:00,16.6,21.2
2019/5/18,20:00,16.4,20.9
2019/5/18,21:00,16.7,20.7
2019/5/18,22:00,16.4,20.5
2019/5/18,23:00,16.2,20.3
2019/5/18,24:00,16.0,20.3
2019/5/19,1:00,16.0,20.0
2019/5/19,2:00,15.8,19.7
2019/5/19,3:00,15.4,19.1
2019/5/19,4:00,15.1,18.6
2019/5/19,5:00,15.0,17.7
2019/5/19,6:00,16.6,26.3
2019/5/19,7:00,18.2,31.8
2019/5/19,8:00,19.2,37.1
2019/5/19,9:00,20.8,40.0
2019/5/19,10:00,19.0,30.9
2019/5/19,11:00,21.4,42.2
2019/5/19,12:00,21.7,42.9
2019/5/19,13:00,22.6,44.7
2019/5/19,14:00,22.4,42.1
2019/5/19,15:00,21.3,40.4
2019/5/19,16:00,21.1,40.0
2019/5/19,17:00,20.1,36.2
2019/5/19,18:00,18.0,28.5
2019/5/19,19:00,16.5,21.4
2019/5/19,20:00,16.7,20.7
2019/5/19,21:00,16.1,20.3
2019/5/19,22:00,16.0,19.9
2019/5/19,23:00,16.1,19.2
2019/5/19,24:00,16.0,19.0
2019/5/20,1:00,15.8,18.5
2019/5/20,2:00,15.6,18.3
2019/5/20,3:00,15.6,18.7
2019/5/20,4:00,15.4,18.5
2019/5/20,5:00,15.2,18.8
2019/5/20,6:00,15.4,20.6
2019/5/20,7:00,15.9,22.5
2019/5/20,8:00,16.9,25.4
2019/5/20,9:00,18.1,28.6
2019/5/20,10:00,19.3,31.9
2019/5/20,11:00,19.9,32.7
2019/5/20,12:00,19.5,31.9
2019/5/20,13:00,19.7,31.9
2019/5/20,14:00,19.3,30.8
2019/5/20,15:00,18.8,27.5
2019/5/20,16:00,18.3,25.5
2019/5/20,17:00,18.3,23.5
2019/5/20,18:00,18.1,20.9
2019/5/20,19:00,17.7,19.3
2019/5/20,20:00,17.6,18.8
2019/5/20,21:00,17.1,17.9
2019/5/20,22:00,17.0,18.1
2019/5/20,23:00,17.0,18.0
2019/5/20,24:00,16.8,17.5
2019/5/21,1:00,17.0,17.5
2019/5/21,2:00,17.2,17.6
2019/5/21,3:00,17.8,18.1
2019/5/21,4:00,17.3,17.5
2019/5/21,5:00,17.5,17.9
2019/5/21,6:00,18.2,20.4
2019/5/21,7:00,17.5,21.2
2019/5/21,8:00,17.8,23.0
2019/5/21,9:00,17.0,24.1
2019/5/21,10:00,20.1,36.0
2019/5/21,11:00,20.3,38.1
2019/5/21,12:00,21.4,42.5
2019/5/21,13:00,21.2,43.9
2019/5/21,14:00,20.6,43.1
2019/5/21,15:00,20.4,43.0
2019/5/21,16:00,19.5,41.2
2019/5/21,17:00,18.4,38.3
2019/5/21,18:00,16.5,30.5
2019/5/21,19:00,13.7,21.1
2019/5/21,20:00,13.4,20.1
2019/5/21,21:00,13.1,19.4
2019/5/21,22:00,12.5,18.7
2019/5/21,23:00,12.1,18.2
2019/5/21,24:00,11.8,17.6
2019/5/22,1:00,11.5,15.9
2019/5/22,2:00,11.4,15.1
2019/5/22,3:00,10.9,14.1
2019/5/22,4:00,10.1,13.3
2019/5/22,5:00,10.0,12.7
2019/5/22,6:00,11.9,21.7
2019/5/22,7:00,13.5,28.2
2019/5/22,8:00,15.6,33.7
2019/5/22,9:00,17.3,36.9
2019/5/22,10:00,18.6,39.3
2019/5/22,11:00,19.1,43.0
2019/5/22,12:00,19.0,43.5
2019/5/22,13:00,20.5,46.9
2019/5/22,14:00,18.2,45.4
2019/5/22,15:00,18.3,43.9
2019/5/22,16:00,17.3,42.7
2019/5/22,17:00,16.0,40.0
2019/5/22,18:00,15.1,32.2
2019/5/22,19:00,13.4,23.6
2019/5/22,20:00,12.9,21.8
2019/5/22,21:00,12.5,20.3
2019/5/22,22:00,12.0,18.7
2019/5/22,23:00,11.9,18.4
2019/5/22,24:00,11.5,17.6
2019/5/23,1:00,11.4,16.5
2019/5/23,2:00,11.2,15.5
2019/5/23,3:00,10.8,15.2
2019/5/23,4:00,10.3,13.5
2019/5/23,5:00,10.2,13.2
2019/5/23,6:00,12.1,22.7
2019/5/23,7:00,14.6,30.4
2019/5/23,8:00,16.0,35.3
2019/5/23,9:00,16.7,38.4
2019/5/23,10:00,18.1,41.8
2019/5/23,11:00,19.5,44.3
2019/5/23,12:00,19.6,45.5
2019/5/23,13:00,20.9,47.4
2019/5/23,14:00,21.3,47.8
2019/5/23,15:00,19.8,46.5
2019/5/23,16:00,19.6,45.1
2019/5/23,17:00,18.7,43.5
2019/5/23,18:00,16.8,35.6
2019/5/23,19:00,15.7,26.2
2019/5/23,20:00,15.5,24.7
2019/5/23,21:00,16.2,23.6
2019/5/23,22:00,16.8,21.9
2019/5/23,23:00,15.8,20.9
2019/5/23,24:00,15.4,19.7
2019/5/24,1:00,14.5,19.2
2019/5/24,2:00,13.9,18.2
2019/5/24,3:00,13.5,17.6
2019/5/24,4:00,12.9,17.5
2019/5/24,5:00,12.5,16.4
2019/5/24,6:00,14.7,25.4
2019/5/24,7:00,16.6,32.4
2019/5/24,8:00,17.8,36.5
2019/5/24,9:00,19.1,40.2
2019/5/24,10:00,20.5,43.4
2019/5/24,11:00,21.7,46.6
2019/5/24,12:00,20.9,48.3
2019/5/24,13:00,20.8,49.3
2019/5/24,14:00,20.5,49.3
2019/5/24,15:00,20.5,48.0
2019/5/24,16:00,20.0,46.2
2019/5/24,17:00,20.1,44.2
2019/5/24,18:00,18.4,36.7
2019/5/24,19:00,16.4,28.2
2019/5/24,20:00,16.1,26.7
2019/5/24,21:00,16.1,23.6
2019/5/24,22:00,15.4,22.4
2019/5/24,23:00,15.5,21.4
2019/5/24,24:00,15.1,20.3
2019/5/25,1:00,14.6,19.1
2019/5/25,2:00,14.1,20.2
2019/5/25,3:00,13.7,19.1
2019/5/25,4:00,13.4,18.2
2019/5/25,5:00,13.0,18.1
2019/5/25,6:00,15.2,27.3
2019/5/25,7:00,17.0,34.8
2019/5/25,8:00,17.9,38.2
2019/5/25,9:00,19.5,41.8
2019/5/25,10:00,21.0,45.3
2019/5/25,11:00,22.1,48.1
2019/5/25,12:00,23.3,49.8
2019/5/25,13:00,24.2,50.8
2019/5/25,14:00,24.2,51.0
2019/5/25,15:00,23.9,50.1
2019/5/25,16:00,23.7,48.5
2019/5/25,17:00,23.2,45.4
2019/5/25,18:00,21.0,37.1
2019/5/25,19:00,18.8,28.5
2019/5/25,20:00,18.4,27.9
2019/5/25,21:00,18.4,26.7
2019/5/25,22:00,17.6,25.5
2019/5/25,23:00,17.1,23.7
2019/5/25,24:00,17.2,22.6
2019/5/26,1:00,16.9,21.4
2019/5/26,2:00,16.6,20.8
2019/5/26,3:00,16.4,20.6
2019/5/26,4:00,16.1,20.0
2019/5/26,5:00,15.8,19.8
2019/5/26,6:00,18.1,29.2
2019/5/26,7:00,19.2,34.6
2019/5/26,8:00,20.5,39.4
2019/5/26,9:00,21.9,42.6
2019/5/26,10:00,22.7,45.5
2019/5/26,11:00,23.5,48.1
2019/5/26,12:00,24.0,48.7
2019/5/26,13:00,23.5,39.9
2019/5/26,14:00,26.1,49.0
2019/5/26,15:00,25.3,49.2
2019/5/26,16:00,25.6,47.7
2019/5/26,17:00,25.3,46.3
2019/5/26,18:00,22.1,32.8
2019/5/26,19:00,21.0,29.5
2019/5/26,20:00,20.9,27.7
2019/5/26,21:00,20.2,27.0
2019/5/26,22:00,20.0,26.1
2019/5/26,23:00,20.2,25.5
2019/5/26,24:00,19.7,24.0
2019/5/27,1:00,19.2,23.0
2019/5/27,2:00,18.8,22.5
2019/5/27,3:00,18.6,21.7
2019/5/27,4:00,18.0,21.0
2019/5/27,5:00,18.0,21.2
2019/5/27,6:00,19.9,29.7
2019/5/27,7:00,21.1,34.8
2019/5/27,8:00,22.4,40.1
2019/5/27,9:00,23.1,43.4
2019/5/27,10:00,25.1,46.9
2019/5/27,11:00,25.2,48.3
2019/5/27,12:00,25.9,50.0
2019/5/27,13:00,26.0,51.2
2019/5/27,14:00,25.8,51.4
2019/5/27,15:00,25.1,48.3
2019/5/27,16:00,23.6,35.7
2019/5/27,17:00,20.6,32.6
2019/5/27,18:00,20.6,29.3
2019/5/27,19:00,19.7,27.2
