Date,Time,WBGT,Tg
2019/5/27,20:00,18.9,26.2
2019/5/27,21:00,19.4,25.5
2019/5/27,22:00,19.5,24.9
2019/5/27,23:00,19.8,24.4
2019/5/27,24:00,19.3,23.9
2019/5/28,1:00,19.1,23.4
2019/5/28,2:00,19.1,23.1
2019/5/28,3:00,19.0,22.7
2019/5/28,4:00,19.2,22.2
2019/5/28,5:00,19.7,22.5
2019/5/28,6:00,20.2,24.3
2019/5/28,7:00,20.5,24.8
2019/5/28,8:00,18.5,23.8
2019/5/28,9:00,19.4,25.7
2019/5/28,10:00,19.0,26.0
2019/5/28,11:00,19.3,26.4
2019/5/28,12:00,19.2,26.7
2019/5/28,13:00,19.3,26.6
2019/5/28,14:00,19.2,26.0
2019/5/28,15:00,19.3,25.2
2019/5/28,16:00,18.6,23.4
2019/5/28,17:00,18.0,21.6
2019/5/28,18:00,18.1,20.1
2019/5/28,19:00,17.8,18.2
2019/5/28,20:00,17.8,18.1
2019/5/28,21:00,18.1,18.4
2019/5/28,22:00,18.2,18.4
2019/5/28,23:00,17.6,17.8
2019/5/28,24:00,18.0,18.2
2019/5/29,1:00,18.0,18.3
2019/5/29,2:00,17.0,17.4
2019/5/29,3:00,16.4,17.0
2019/5/29,4:00,16.6,17.6
2019/5/29,5:00,15.4,17.5
2019/5/29,6:00,15.4,19.4
2019/5/29,7:00,15.6,21.9
2019/5/29,8:00,15.7,24.5
2019/5/29,9:00,15.8,27.1
2019/5/29,10:00,16.8,30.3
2019/5/29,11:00,17.1,31.6
2019/5/29,12:00,20.6,42.1
2019/5/29,13:00,19.9,42.3
2019/5/29,14:00,19.7,42.5
2019/5/29,15:00,18.7,41.1
2019/5/29,16:00,17.0,40.0
2019/5/29,17:00,15.6,37.4
2019/5/29,18:00,14.2,30.2
2019/5/29,19:00,12.0,20.8
2019/5/29,20:00,11.9,19.9
2019/5/29,21:00,11.4,18.7
2019/5/29,22:00,11.1,17.5
2019/5/29,23:00,11.1,17.2
2019/5/29,24:00,11.1,16.5
2019/5/30,1:00,10.8,14.7
2019/5/30,2:00,10.1,13.7
2019/5/30,3:00,9.7,12.2
2019/5/30,4:00,10.0,12.3
2019/5/30,5:00,9.5,12.9
2019/5/30,6:00,11.5,21.7
2019/5/30,7:00,13.6,29.0
2019/5/30,8:00,15.0,33.5
2019/5/30,9:00,15.8,36.4
2019/5/30,10:00,17.5,40.2
2019/5/30,11:00,19.0,43.0
2019/5/30,12:00,18.6,44.7
2019/5/30,13:00,18.5,44.7
2019/5/30,14:00,19.6,45.1
2019/5/30,15:00,19.9,44.4
2019/5/30,16:00,19.3,42.4
2019/5/30,17:00,21.2,38.6
2019/5/30,18:00,18.8,30.3
2019/5/30,19:00,17.2,22.3
2019/5/30,20:00,17.1,21.9
2019/5/30,21:00,17.8,21.1
2019/5/30,22:00,18.0,21.0
2019/5/30,23:00,18.5,20.7
2019/5/30,24:00,18.0,20.4
2019/5/31,1:00,17.8,20.2
2019/5/31,2:00,17.8,20.2
2019/5/31,3:00,17.2,19.7
2019/5/31,4:00,16.9,19.4
2019/5/31,5:00,16.9,19.8
2019/5/31,6:00,17.3,21.7
2019/5/31,7:00,17.8,23.8
2019/5/31,8:00,18.7,26.3
2019/5/31,9:00,19.2,27.9
2019/5/31,10:00,22.0,39.0
2019/5/31,11:00,21.5,31.8
2019/5/31,12:00,21.4,32.0
2019/5/31,13:00,20.9,31.4
2019/5/31,14:00,19.4,28.0
2019/5/31,15:00,20.1,27.0
