Date,Time,WBGT,Tg
2019/10/1,1:00,24.4,25.0
2019/10/1,2:00,24.3,24.8
2019/10/1,3:00,24.2,24.7
2019/10/1,4:00,24.2,24.6
2019/10/1,5:00,23.9,24.5
2019/10/1,6:00,23.8,24.1
2019/10/1,7:00,24.3,25.5
2019/10/1,8:00,25.3,29.9
2019/10/1,9:00,25.5,32.5
2019/10/1,10:00,26.8,37.4
2019/10/1,11:00,26.6,35.4
2019/10/1,12:00,26.8,36.2
2019/10/1,13:00,27.1,36.1
2019/10/1,14:00,26.4,32.2
2019/10/1,15:00,26.9,32.9
2019/10/1,16:00,27.0,33.0
2019/10/1,17:00,26.1,31.3
2019/10/1,18:00,25.5,27.8
2019/10/1,19:00,25.1,26.8
2019/10/1,20:00,25.0,26.1
2019/10/1,21:00,24.8,26.5
2019/10/1,22:00,24.6,26.2
2019/10/1,23:00,24.8,26.7
2019/10/1,24:00,24.8,26.6
2019/10/2,1:00,24.7,26.8
2019/10/2,2:00,24.9,26.3
2019/10/2,3:00,24.8,26.6
2019/10/2,4:00,25.0,26.8
2019/10/2,5:00,24.7,26.7
2019/10/2,6:00,24.5,26.3
2019/10/2,7:00,25.3,27.5
2019/10/2,8:00,25.7,28.5
2019/10/2,9:00,25.2,26.8
2019/10/2,10:00,25.5,27.8
2019/10/2,11:00,25.8,27.4
2019/10/2,12:00,27.6,33.5
2019/10/2,13:00,26.8,31.1
2019/10/2,14:00,26.1,27.2
2019/10/2,15:00,26.4,29.2
2019/10/2,16:00,27.5,32.5
2019/10/2,17:00,25.5,26.1
2019/10/2,18:00,26.2,26.5
2019/10/2,19:00,26.0,26.0
2019/10/2,20:00,26.1,26.3
2019/10/2,21:00,26.1,26.2
2019/10/2,22:00,24.9,25.0
2019/10/2,23:00,24.9,25.1
2019/10/2,24:00,25.3,25.5
2019/10/3,1:00,25.0,25.6
2019/10/3,2:00,25.2,26.0
2019/10/3,3:00,25.2,25.8
2019/10/3,4:00,24.3,24.1
2019/10/3,5:00,24.4,23.8
2019/10/3,6:00,24.0,24.0
2019/10/3,7:00,23.8,24.7
2019/10/3,8:00,25.9,32.1
2019/10/3,9:00,27.7,40.5
2019/10/3,10:00,27.7,39.7
2019/10/3,11:00,26.5,32.0
